movie_title,imdb_id,movie_budget,movie_revenue,movie_release,join_title,book_publisher,book_pages,book_rating,book_ratings_count,join_author,imdb_rating,imdb_total_votes
Kids of the Round Table,tt0113541,0.0,0.0,1997.0,kids of the round table,,0,0.0,0,,5.1,377.0
Home for the Holidays,tt0113321,0.0,37758523.655760795,1995.0,home for the holidays,,0,0.0,0,,6.6,15590.0
The Postman,tt0110877,0.0,0.0,1994.0,the postman,,0,0.0,0,,7.8,40846.0
The Confessional,tt0112714,0.0,0.0,1995.0,the confessional,,0,0.0,0,,7.4,1668.0
The Indian in the Cupboard,tt0113419,96987109.63455148,0.0,1995.0,the indian in the cupboard,,0,0.0,0,,6.0,32578.0
Eye for an Eye,tt0116260,41935100.19392373,0.0,1996.0,eye for an eye,,0,0.0,0,,6.2,22327.0
Mr. Holland's Opus,tt0113862,0.0,229040385.07194683,1995.0,mr. holland's opus,,0,0.0,0,,7.3,43634.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,tt0116126,0.0,0.0,1996.0,don't be a menace to south central while drinking your juice in the hood,,0,0.0,0,,6.5,66246.0
Two If by Sea,tt0118002,0.0,0.0,1996.0,two if by sea,,0,0.0,0,,5.3,6659.0
Bio-Dome,tt0115683,31451325.145442795,0.0,1996.0,bio-dome,,0,0.0,0,,4.4,31196.0
Lawnmower Man 2: Beyond Cyberspace,tt0116839,0.0,5051554.588235294,1996.0,lawnmower man 2: beyond cyberspace,,0,0.0,0,,2.6,10671.0
Two Bits,tt0114753,0.0,0.0,1995.0,two bits,,0,0.0,0,,6.1,3761.0
French Twist,tt0113149,0.0,0.0,1995.0,french twist,,0,0.0,0,,6.4,5564.0
Friday,tt0113118,7543441.860465116,60812896.27790033,1995.0,friday,,0,0.0,0,,7.2,134200.0
From Dusk Till Dawn,tt0116367,39838345.18422754,54173054.031596646,1996.0,from dusk till dawn,,0,0.0,0,,7.2,363060.0
Fair Game,tt0113010,107763455.14950165,24859901.897249166,1995.0,fair game,,0,0.0,0,,4.4,14555.0
Kicking and Screaming,tt0113537,0.0,1548539.2978073088,1995.0,kicking and screaming,,0,0.0,0,,6.6,15852.0
Les Miserables,tt0113828,0.0,0.0,1995.0,les miserables,,0,0.0,0,,7.4,4349.0
Bed of Roses,tt0115644,0.0,39902696.69223013,1996.0,bed of roses,,0,0.0,0,,6.1,9130.0
Big Bully,tt0115676,31451325.145442795,4282685.0099547515,1996.0,big bully,,0,0.0,0,,4.8,5805.0
Screamers,tt0114367,43105382.05980066,12461518.097541528,1995.0,screamers,,0,0.0,0,,6.3,31246.0
Nico Icon,tt0113973,0.0,0.0,1995.0,nico icon,,0,0.0,0,,7.2,774.0
The Crossing Guard,tt0112744,0.0,0.0,1995.0,the crossing guard,,0,0.0,0,,6.3,15247.0
The Juror,tt0116731,92257220.42663221,0.0,1996.0,the juror,,0,0.0,0,,5.7,21897.0
The White Balloon,tt0112445,0.0,0.0,1995.0,the white balloon,,0,0.0,0,,7.6,8771.0
Things to Do in Denver When You're Dead,tt0114660,17242152.823920265,1141788.291614618,1995.0,things to do in denver when you're dead,,0,0.0,0,,6.7,31184.0
Antonia's Line,tt0112379,1939742.1926910297,0.0,1995.0,antonia's line,,0,0.0,0,,7.4,9899.0
Once Upon a Time... When We Were Colored,tt0114039,0.0,0.0,1996.0,once upon a time... when we were colored,,0,0.0,0,,7.4,591.0
Last Summer in the Hamptons,tt0113612,0.0,0.0,1995.0,last summer in the hamptons,,0,0.0,0,,5.8,462.0
Angels and Insects,tt0112365,0.0,0.0,1995.0,angels and insects,,0,0.0,0,,6.8,5047.0
White Squall,tt0118158,79676690.36845508,21596576.59987072,1996.0,white squall,,0,0.0,0,,6.6,26805.0
Dunston Checks In,tt0116151,33548080.155138984,0.0,1996.0,dunston checks in,,0,0.0,0,,5.4,14028.0
Black Sheep,tt0115697,0.0,67.09616031027797,1996.0,black sheep,,0,0.0,0,,6.2,45364.0
Nick of Time,tt0113972,17607175.665009964,17620070.640053153,1995.0,nick of time,,0,0.0,0,,6.3,46839.0
The Journey of August King,tt0113490,0.0,0.0,1995.0,the journey of august king,,0,0.0,0,,6.5,1100.0
Mary Reilly,tt0117002,98547485.45572077,25956573.16054299,1996.0,mary reilly,,0,0.0,0,,5.8,16469.0
Vampire in Brooklyn,tt0114825,30173767.441860463,42674328.239202656,1995.0,vampire in brooklyn,,0,0.0,0,,4.7,26469.0
Beautiful Girls,tt0115639,0.0,0.0,1996.0,beautiful girls,,0,0.0,0,,7.1,35946.0
Broken Arrow,tt0115759,104837750.48480932,315079683.53003234,1996.0,broken arrow,,0,0.0,0,,6.1,109318.0
A Midwinter's Tale,tt0113403,0.0,0.0,1995.0,a midwinter's tale,,0,0.0,0,,7.2,2881.0
La Haine,tt0113247,6465807.308970099,0.0,1995.0,la haine,,0,0.0,0,,8.1,218666.0
Shopping,tt0111173,0.0,0.0,1994.0,shopping,,0,0.0,0,,5.4,3251.0
Heidi Fleiss: Hollywood Madam,tt0113283,0.0,0.0,1995.0,heidi fleiss: hollywood madam,,0,0.0,0,,6.6,857.0
City Hall,tt0115907,0.0,0.0,1996.0,city hall,,0,0.0,0,,6.2,23725.0
Bottle Rocket,tt0115734,14677285.067873305,1174327.4815255334,1996.0,bottle rocket,,0,0.0,0,,6.9,87268.0
Mr. Wrong,tt0117102,0.0,0.0,1996.0,mr. wrong,,0,0.0,0,,3.8,5534.0
Unforgettable,tt0118040,37741590.174531356,0.0,1996.0,unforgettable,,0,0.0,0,,6.0,6340.0
Happy Gilmore,tt0116483,25161060.11635424,86396997.75327732,1996.0,happy gilmore,,0,0.0,0,,7.0,298044.0
The Bridges of Madison County,tt0112579,51726458.471760795,392294790.8508704,1995.0,the bridges of madison county,,0,0.0,0,,7.6,94826.0
Nobody Loves Me,tt0110251,0.0,0.0,1994.0,nobody loves me,,0,0.0,0,,7.1,1277.0
Muppet Treasure Island,tt0117110,0.0,71976129.04904978,1996.0,muppet treasure island,,0,0.0,0,,6.9,28485.0
Catwalk,tt0112646,0.0,0.0,1995.0,catwalk,,0,0.0,0,,7.0,398.0
Headless Body in Topless Bar,tt0113276,0.0,0.0,1995.0,headless body in topless bar,,0,0.0,0,,4.7,269.0
Braveheart,tt0112573,155179375.41528237,452606511.6279069,1995.0,braveheart,,0,0.0,0,,8.3,1144578.0
Taxi Driver,tt0075314,7556960.573476702,164291659.55612904,1976.0,taxi driver,,0,0.0,0,,8.2,1001647.0
Rumble in the Bronx,tt0113326,16164518.272425247,69813578.081701,1995.0,rumble in the bronx,,0,0.0,0,,6.8,48632.0
Before and After,tt0115645,73386425.33936653,0.0,1996.0,before and after,,0,0.0,0,,6.1,11099.0
Margaret's Museum,tt0113774,0.0,0.0,1995.0,margaret's museum,,0,0.0,0,,7.2,1430.0
Happiness Is in the Field,tt0112556,28805171.56146179,0.0,1995.0,happiness is in the field,,0,0.0,0,,7.0,3160.0
Anne Frank Remembered,tt0112373,0.0,2.155269102990033,1995.0,anne frank remembered,,0,0.0,0,,8.1,1443.0
The Young Poisoner's Handbook,tt0115033,0.0,0.0,1995.0,the young poisoner's handbook,,0,0.0,0,,7.0,3956.0
If Lucy Fell,tt0116606,0.0,0.0,1996.0,if lucy fell,,0,0.0,0,,4.9,4454.0
Steal Big Steal Little,tt0114536,53881727.574750826,13531079.010976743,1995.0,steal big steal little,,0,0.0,0,,4.7,1125.0
Race the Sun,tt0117427,0.0,0.0,1996.0,race the sun,,0,0.0,0,,5.4,3537.0
The Boys of St. Vincent,tt0106473,0.0,0.0,1992.0,the boys of st. vincent,,0,0.0,0,,7.5,2197.0
Boomerang,tt0103859,93815762.83441792,164412124.3673174,1992.0,boomerang,,0,0.0,0,,5.6,33001.0
Chungking Express,tt0109424,0.0,0.0,1994.0,chungking express,,0,0.0,0,,7.9,107384.0
The Star Maker,tt0114808,0.0,0.0,1995.0,the star maker,,0,0.0,0,,7.3,5724.0
Flirting with Disaster,tt0116324,14677285.067873305,30827410.53124758,1996.0,flirting with disaster,,0,0.0,0,,6.7,20726.0
The Neverending Story III: Escape from Fantasia,tt0110647,37691428.57142857,0.0,1994.0,the neverending story iii: escape from fantasia,,0,0.0,0,,3.2,13019.0
The Silences of the Palace,tt0111055,0.0,0.0,1994.0,the silences of the palace,,0,0.0,0,,7.3,1198.0
Jupiter's Wife,tt0110217,0.0,0.0,1995.0,jupiter's wife,,0,0.0,0,,7.1,259.0
Pie in the Sky,tt0114131,0.0,0.0,1996.0,pie in the sky,,0,0.0,0,,5.7,929.0
Angela,tt0112364,0.0,0.0,1995.0,angela,,0,0.0,0,,6.3,1184.0
Frankie Starlight,tt0113107,0.0,0.0,1995.0,frankie starlight,,0,0.0,0,,6.5,964.0
Jade,tt0113451,107763455.14950165,21232870.64770764,1995.0,jade,,0,0.0,0,,5.4,15273.0
Nueba Yol,tt0114015,0.0,0.0,1995.0,nueba yol,,0,0.0,0,,7.1,519.0
Sonic Outlaws,tt0114500,0.0,0.0,1995.0,sonic outlaws,,0,0.0,0,,7.5,182.0
Down Periscope,tt0116130,0.0,0.0,1996.0,down periscope,,0,0.0,0,,6.2,29100.0
From the Journals of Jean Seberg,tt0113125,0.0,0.0,1995.0,from the journals of jean seberg,,0,0.0,0,,7.1,305.0
Man of the Year,tt0113756,0.0,452466.4191362126,1995.0,man of the year,,0,0.0,0,,5.9,359.0
The Neon Bible,tt0113952,0.0,0.0,1995.0,the neon bible,,0,0.0,0,,6.3,1153.0
Target,tt0114618,0.0,0.0,1995.0,target,,0,0.0,0,,8.0,84.0
Up Close & Personal,tt0118055,125805300.58177118,0.0,1996.0,up close & personal,,0,0.0,0,,6.1,16145.0
The Birdcage,tt0115685,64999405.30058178,388445992.60183585,1996.0,the birdcage,,0,0.0,0,,7.2,111428.0
Virgin Mary,tt0113200,0.0,0.0,1995.0,virgin mary,,0,0.0,0,,4.0,477.0
The Brothers McMullen,tt0112585,0.0,0.0,1995.0,the brothers mcmullen,,0,0.0,0,,6.6,8618.0
Bad Boys,tt0112442,40950112.95681063,304770189.7729701,1995.0,bad boys,,0,0.0,0,,6.8,310178.0
The Amazing Panda Adventure,tt0112342,0.0,0.0,1995.0,the amazing panda adventure,,0,0.0,0,,5.7,4593.0
The Basketball Diaries,tt0112461,0.0,0.0,1995.0,the basketball diaries,,0,0.0,0,,7.3,129581.0
An Awfully Big Adventure,tt0112427,8621076.411960132,1835308.6283056478,1995.0,an awfully big adventure,,0,0.0,0,,5.8,3187.0
Amateur,tt0109093,0.0,0.0,1994.0,amateur,,0,0.0,0,,6.7,7352.0
Apollo 13,tt0112384,112073993.35548171,765633341.2049434,1995.0,apollo 13,,0,0.0,0,,7.7,331213.0
Rob Roy,tt0114287,60347534.88372093,68099846.02822591,1995.0,rob roy,,0,0.0,0,,6.9,48491.0
The Addiction,tt0112288,0.0,0.0,1995.0,the addiction,,0,0.0,0,,6.5,12679.0
Batman Forever,tt0112462,215526910.2990033,725310866.3188837,1995.0,batman forever,,0,0.0,0,,5.5,278820.0
Belle de Jour,tt0061395,0.0,0.0,1967.0,belle de jour,,0,0.0,0,,7.6,52465.0
Beyond Rangoon,tt0112495,0.0,0.0,1995.0,beyond rangoon,,0,0.0,0,,6.5,5659.0
Blue in the Face,tt0112541,4310538.205980066,2747968.106312292,1995.0,blue in the face,,0,0.0,0,,6.6,10493.0
Canadian Bacon,tt0109370,23707960.132890362,383862.04831893684,1995.0,canadian bacon,,0,0.0,0,,5.9,19169.0
Casper,tt0112642,107763455.14950165,620562740.4079202,1995.0,casper,,0,0.0,0,,6.2,157174.0
Clockers,tt0112688,53881727.574750826,28172638.87457807,1995.0,clockers,,0,0.0,0,,6.9,24592.0
Congo,tt0112715,107763455.14950165,327648537.25693023,1995.0,congo,,0,0.0,0,,5.3,51490.0
Crimson Tide,tt0112740,114229262.45847175,339211758.5897674,1995.0,crimson tide,,0,0.0,0,,7.4,133559.0
Crumb,tt0109508,0.0,7038752.342857143,1994.0,crumb,,0,0.0,0,,8.0,22743.0
Desperado,tt0112851,15086883.720930232,54755570.65621262,1995.0,desperado,,0,0.0,0,,7.1,205964.0
Devil in a Blue Dress,tt0112857,58192265.780730896,34787814.95346179,1995.0,devil in a blue dress,,0,0.0,0,,6.8,26913.0
Die Hard: With a Vengeance,tt0112864,193974219.26910296,789047609.2829766,1995.0,die hard: with a vengeance,,0,0.0,0,,7.6,425056.0
The Doom Generation,tt0112887,0.0,0.0,1995.0,the doom generation,,0,0.0,0,,6.2,19464.0
Feast of July,tt0113044,0.0,0.0,1995.0,feast of july,,0,0.0,0,,6.1,634.0
First Knight,tt0113071,118539800.66445182,275013275.083588,1995.0,first knight,,0,0.0,0,,6.0,81805.0
Free Willy 2 - The Adventure Home,tt0113114,0.0,0.0,1995.0,free willy 2 - the adventure home,,0,0.0,0,,5.1,20429.0
Hackers,tt0113243,43105382.05980066,16301869.261820598,1995.0,hackers,,0,0.0,0,,6.2,79702.0
Jeffrey,tt0113464,0.0,0.0,1995.0,jeffrey,,0,0.0,0,,6.8,7091.0
